P_J422_code,F_PU6,F_PU11,S_PU6,S_PU11,F_PU7,ATT_FLAG
0,0.0,0.0,0.0,0.0,49.84,0
0,0.0,0.0,0.0,0.0,48.38,0
0,0.0,0.0,0.0,0.0,46.84,0
0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0.0,46.6,0
0,0.0,0.0,0.0,0.0,47.35,0
0,0.0,0.0,0.0,0.0,47.66,0
0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0.0,48.44,0
0,0.0,0.0,0.0,0.0,50.13,0
0,0.0,0.0,0.0,0.0,49.76,0
0,0.0,0.0,0.0,0.0,48.57,0
0,0.0,0.0,0.0,0.0,48.61,0
0,0.0,0.0,0.0,0.0,48.82,0
0,0.0,0.0,0.0,0.0,49.16,0
0,0.0,0.0,0.0,0.0,48.76,0
0,0.0,0.0,0.0,0.0,49.08,0
0,0.0,0.0,0.0,0.0,49.42,0
0,0.0,0.0,0.0,0.0,49.26,0
0,0.0,0.0,0.0,0.0,49.49,0
0,0.0,0.0,0.0,0.0,50.03,0
0,0.0,0.0,0.0,0.0,50.11,0
0,0.0,0.0,0.0,0.0,49.59,0
0,0.0,0.0,0.0,0.0,49.38,0
0,0.0,0.0,0.0,0.0,49.07,0
0,0.0,0.0,0.0,0.0,48.35,0
0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0.0,48.02,0
0,0.0,0.0,0.0,0.0,48.41,0
0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0.0,0.0,0
0,0.0,0.0,0.0,0.0,50.74,0
0,0.0,0.0,0.0,0.0,50.76,0
0,0.0,0.0,0.0,0.0,51.06,0
0,0.0,0.0,0.0,0.0,51.32,0
0,0.0,0.0,0.0,0.0,50.32,0
0,0.0,0.0,0.0,0.0,50.21,0
0,0.0,0.0,0.0,0.0,50.43,0
0,0.0,0.0,0.0,0.0,50.42,0
0,0.0,0.0,0.0,0.0,50.3,0
